City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,iquique,-20.2208,-70.1431,294.37,83,44,0.63,CL,1738451953
212,alaghsas,17.0187,8.0168,292.06,15,100,5.2,NE,1738451954
213,nyurba,63.2842,118.3319,243.26,96,100,2.47,RU,1738451955
214,puerto aysen,-45.4,-72.7,285.84,90,98,2.14,CL,1738451956
215,shatura,55.5725,39.5368,275.05,82,100,3.27,RU,1738451957
216,cadale,2.7603,46.3222,297.14,80,97,10.02,SO,1738451958
217,las lomitas,-24.7096,-60.593,304.91,28,0,2.28,AR,1738451961
218,katsuura,35.1333,140.3,280.74,93,100,10.48,JP,1738451832
219,whitehorse,60.7161,-135.0538,248.58,63,20,3.09,CA,1738451963
220,ghat,24.9647,10.1728,291.37,21,100,1.7,LY,1738451964
221,taoudenni,22.6783,-3.9836,287.48,27,0,4.19,ML,1738451965
222,paita,-5.0892,-81.1144,296.32,78,58,4.91,PE,1738451966
223,isla mujeres,21.2311,-86.731,300.98,74,7,4.03,MX,1738451967
224,bir hadaj,31.0263,34.7031,284.7,77,5,1.3,IL,1738451968
225,el granada,37.5027,-122.4694,289.51,93,100,6.17,US,1738451970
226,savelugu,9.6244,-0.8253,300.44,15,70,3.04,GH,1738451971
227,megion,61.0296,76.1136,258.16,99,100,1.62,RU,1738451697
228,vorgashor,67.5833,63.95,246.59,94,49,2.88,RU,1738451973
229,rehoboth,-23.3167,17.0833,297.96,31,31,2.66,NA,1738451974
230,invercargill,-46.4,168.35,289.83,59,95,0.45,NZ,1738451975
231,beipiao,41.7919,120.7792,261.93,90,100,1.37,CN,1738451976
232,baotou,40.6522,109.8222,262.59,77,16,3.86,CN,1738451977
233,ghanzi,-21.5667,21.7833,298.96,43,70,3.76,BW,1738451978
234,lorengau,-2.0226,147.2712,301.8,78,100,2.23,PG,1738451980
235,vila franca do campo,37.7167,-25.4333,287.38,85,43,3.03,PT,1738451981
236,udachny,66.4167,112.4,232.77,100,89,1.94,RU,1738451982
237,thunder bay,48.4001,-89.3168,263.14,85,100,5.14,CA,1738451983
238,posto da mata,-17.8848,-39.8536,297.86,81,55,3.37,BR,1738451984
239,laredo,27.5064,-99.5075,299.31,17,0,5.14,US,1738451985
240,island harbour,50.724,-1.2758,278.7,86,82,0.89,GB,1738451986
241,wynyard,-41.0,145.7167,294.92,73,51,4.47,AU,1738451987
242,antofagasta,-23.65,-70.4,293.75,84,0,1.95,CL,1738451989
243,narvik,68.4384,17.4272,268.11,77,28,3.58,NO,1738451990
244,aasiaat,68.7098,-52.8699,255.04,93,100,5.45,GL,1738451991
245,chibougamau,49.9168,-74.3659,250.94,77,0,2.57,CA,1738451992
246,howard springs,-12.497,131.047,303.64,95,97,3.61,AU,1738451993
247,jamestown,42.097,-79.2353,261.95,85,0,2.06,US,1738451994
248,mahina,-17.5065,-149.489,304.02,70,97,5.66,PF,1738451995
249,filingue,14.3521,3.3168,296.77,15,99,3.17,NE,1738451996
250,juticalpa,14.65,-86.2,300.09,62,41,2.35,HN,1738451998
251,mehekar,20.15,76.5667,293.9,38,77,2.75,IN,1738451999
252,catriel,-37.8791,-67.7956,305.18,25,0,1.92,AR,1738452000
253,santa ana,33.7456,-117.8678,296.37,48,20,4.63,US,1738451907
254,nur-sultan,51.1801,71.446,270.12,93,100,5.0,KZ,1738452002
255,camana,-16.6228,-72.7111,295.95,83,46,1.56,PE,1738452003
256,fortuna,40.5982,-124.1573,285.66,98,75,0.0,US,1738452004
257,palmares do sul,-30.2578,-50.5097,296.5,82,10,3.56,BR,1738452005
258,taro,-8.3862,115.28,293.87,96,100,1.07,ID,1738452007
259,tromso,69.6496,18.957,272.16,100,75,1.03,NO,1738452008
260,cockburn town,21.4612,-71.1419,298.13,88,40,5.14,TC,1738452009
261,santyoku,37.4406,129.1708,274.08,78,79,3.05,KR,1738452010
262,ambodifotatra,-16.9833,49.85,300.9,76,100,1.38,MG,1738452011
263,al bardiyah,31.7561,25.0865,287.62,74,100,4.03,LY,1738452012
264,misliyah,17.4599,42.5572,298.16,75,3,2.15,SA,1738452013
265,ta`u,-14.2336,-169.5144,300.93,80,32,6.83,AS,1738452014
266,itupiranga,-5.1347,-49.3267,296.95,95,93,0.75,BR,1738452015
267,taroa,8.7058,171.2275,299.91,83,3,9.69,MH,1738452017
268,ocana,8.2377,-73.356,296.85,56,86,2.87,CO,1738452018
269,usinsk,65.9939,57.5281,254.89,93,24,6.38,RU,1738452020
270,letterkenny,54.95,-7.7333,280.94,92,100,7.97,IE,1738452021
271,robertsport,6.7533,-11.3686,299.81,88,89,3.11,LR,1738452022
272,humaita,-7.5061,-63.0208,296.97,97,95,0.76,BR,1738452023
273,hillvue,-31.1244,150.915,299.1,41,0,6.17,AU,1738452025
274,midvagur,62.0511,-7.1939,279.61,100,100,3.6,FO,1738452026
275,boyolangu,-8.1181,111.8935,297.12,93,100,2.26,ID,1738452029
276,chita,52.0333,113.55,246.09,70,20,1.0,RU,1738452030
277,inda silase,14.1031,38.2829,289.6,51,5,1.48,ET,1738452031
278,pierre,44.3683,-100.351,286.66,35,0,4.12,US,1738452032
279,tobruk,32.0836,23.9764,287.91,75,100,4.21,LY,1738452034
280,khandyga,62.6667,135.6,228.73,100,97,0.52,RU,1738452035
281,noumea,-22.2763,166.4572,302.61,99,100,7.19,NC,1738452036
282,susanville,40.4163,-120.653,279.06,87,100,4.12,US,1738452037
283,asmara,15.3333,38.9333,283.51,81,60,2.16,ER,1738452038
284,mount isa,-20.7333,139.5,301.02,57,75,9.26,AU,1738452039
285,carutapera,-1.195,-46.02,297.11,93,81,2.79,BR,1738452040
286,atbasar,51.8,68.3333,270.02,96,100,3.81,KZ,1738452042
287,belyy yar,53.6039,91.3903,248.09,92,100,0.0,RU,1738452043
288,alofi,-19.0595,-169.9187,304.09,70,40,4.63,NU,1738452044
289,priyutnoye,46.1011,43.5072,277.4,83,100,3.85,RU,1738452045
290,port hueneme,34.1478,-119.1951,294.41,68,0,4.63,US,1738452046
291,wanaraja,-7.1749,107.9808,293.21,96,93,2.22,ID,1738452047
292,tura,25.5198,90.2201,286.81,47,1,1.13,IN,1738452048
293,st. john's,47.5649,-52.7093,267.02,81,100,3.58,CA,1738452049
294,batouri,4.4333,14.3667,295.94,26,93,0.36,CM,1738452051
295,tamanrasset,22.785,5.5228,284.1,20,0,2.06,DZ,1738452052
296,polyarnyy,69.1989,33.4478,264.14,87,72,3.35,RU,1738452053
297,fale old settlement,-9.3852,-171.2468,301.21,77,25,6.78,TK,1738452054
298,gizo,-8.103,156.8419,302.66,68,100,5.36,SB,1738452055
299,shahba,32.8551,36.629,280.41,68,0,2.18,SY,1738452056
300,amos,48.5669,-78.1162,246.98,100,91,1.15,CA,1738452057
301,viqueque,-8.8673,126.3658,298.49,90,95,1.16,TL,1738452060
302,saint-pierre,-21.3393,55.4781,299.97,89,40,4.12,RE,1738452061
303,mount gambier,-37.8333,140.7667,299.94,43,9,2.44,AU,1738452062
304,sanctuary point,-35.1114,150.629,296.72,64,5,3.23,AU,1738452063
305,castillos,-34.1667,-53.8333,294.54,91,4,2.73,UY,1738452064
306,luanda,-8.8368,13.2343,299.16,82,87,3.5,AO,1738452065
307,kashgar,39.4547,75.9797,267.71,35,0,3.0,CN,1738452066
308,salinopolis,-0.6136,-47.3561,298.69,84,85,4.4,BR,1738452068
309,kitimat,54.0524,-128.6534,264.77,71,100,2.72,CA,1738452069
310,yamada,39.4667,141.95,271.77,56,93,1.37,JP,1738452070
311,dauphin,51.1494,-100.0502,261.23,72,100,5.14,CA,1738452072
312,meadow lakes,61.6247,-149.6011,264.88,60,0,0.0,US,1738452073
313,howrah,22.5892,88.3103,295.15,94,40,0.0,IN,1738452074
314,dawson creek,55.7666,-120.2362,247.95,58,0,3.6,CA,1738451997
315,sitka,57.0531,-135.33,270.09,24,20,8.23,US,1738452077
316,kupang,-10.1667,123.5833,301.47,89,75,6.69,ID,1738452078
317,mawu,34.4307,104.9176,262.57,86,97,1.98,CN,1738452079
318,champerico,14.3,-91.9167,302.41,62,44,4.12,GT,1738452080
319,saacow,1.6279,42.4407,297.13,70,99,6.57,SO,1738452081
320,bozoum,6.3193,16.3799,296.15,22,95,1.12,CF,1738452082
321,rivne,50.6231,26.2274,275.97,83,100,3.56,UA,1738451941
322,prince rupert,54.3161,-130.3201,268.98,56,75,8.75,CA,1738451945
323,aktau,43.65,51.2,272.47,70,0,6.99,KZ,1738452086
324,conceicao do araguaia,-8.2578,-49.2647,297.4,87,63,0.22,BR,1738452087
325,kapa'a,22.0752,-159.319,298.81,59,0,4.12,US,1738452088
326,tsiombe,-25.3,45.4833,295.4,85,5,2.21,MG,1738452089
327,harstad,68.799,16.5293,273.24,82,86,0.45,NO,1738452090
328,petukhovo,55.0692,67.9019,272.53,97,100,3.25,RU,1738452091
329,campbellton,48.0075,-66.6727,256.4,80,87,5.54,CA,1738452092
330,buka,40.8108,69.1986,273.23,67,0,0.84,UZ,1738452093
331,soio,-6.1349,12.3689,299.79,85,97,3.09,AO,1738452095
332,barinas,8.6226,-70.2075,303.32,37,83,4.05,VE,1738452096
333,wenchang,30.904,118.4887,278.74,86,100,3.52,CN,1738452097
334,tarawa,1.419,172.984,302.2,84,40,7.2,KI,1738452098
335,nago,26.5881,127.9761,290.78,84,90,4.01,JP,1738451976
336,queenstown,-31.8976,26.8753,291.3,81,79,1.3,ZA,1738452100
337,enewetak,11.3474,162.3373,300.06,78,69,10.67,MH,1738452101
338,churapcha,62.0025,132.4325,230.98,100,99,1.32,RU,1738452102
339,port blair,11.6667,92.75,294.17,94,40,1.03,IN,1738452104
340,selfoss,63.9331,-20.9971,276.51,79,100,11.14,IS,1738452105
341,yulinshi,38.2906,109.7494,268.26,47,99,4.43,CN,1738452106
342,las heras,-46.5419,-68.9359,293.71,24,100,11.43,AR,1738452107
343,forster,-32.1667,152.5167,296.52,61,79,1.04,AU,1738452108
344,blytheville,35.9273,-89.919,282.14,76,100,2.06,US,1738452109
345,masuguru,-11.3667,38.4167,296.19,91,98,1.5,TZ,1738452110
346,ola,59.5833,151.2833,246.85,83,12,3.58,RU,1738452111
347,taradale,-39.5333,176.85,294.27,73,95,1.79,NZ,1738452112
348,nakamura,32.9833,132.9333,280.25,95,100,1.28,JP,1738452114
349,saudarkrokur,65.7461,-19.6394,272.32,80,41,6.32,IS,1738452115
350,panchgani,17.9167,73.8167,291.81,45,75,1.86,IN,1738452116
351,georgievka,49.3314,81.5761,263.15,81,100,6.65,KZ,1738452118
352,al hawatah,13.4167,34.6333,299.27,32,11,5.82,SD,1738452119
353,constantia,44.1833,28.65,276.53,84,38,4.48,RO,1738452120
